07-07-2021 14:10,dsdeeptishakya777@gmail.com,140.0/140.0,deepti_1921cs14@iitp.ac.in,Deepti Shakya,8377094336,140.0/140.0,ANSWER,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,"[28, 0, 0]"
07-08-2021 12:18,ellen_booth4939@atink.com,55.0/140.0,ellen_booth9706@iitp.ac.in,Ellen Booth,7785862435,39.0/140.0,1401ME61,Option A,Option D,Option B,Option C,Option B,Option B,Option A,Option B,,Option C,Option C,Option B,Option B,Option B,Option B,Option D,Option C,Option D,Option C,Option B,Option D,Option B,Option B,Option C,Option B,Option A,Option A,Option B,"[11, 16, 1]"
07-08-2021 12:18,rachael_selby9175@acrit.org,100.0/140.0,rachael_selby7861@iitp.ac.in,Rachael Selby,9984503025,92.0/140.0,1401CS40,Option A,Option D,Option B,Option C,Option B,Option C,Option A,Option D,Option B,Option A,Option C,Option C,Option D,Option D,Option B,Option B,Option C,Option D,Option D,Option B,Option A,Option B,Option A,Option D,Option B,Option A,Option C,Option D,"[20, 8, 0]"
07-08-2021 12:19,rowan_knott5318@deons.tech,25.0/140.0,rowan_knott132@iitp.ac.in,Rowan Knott,9799319607,13.0/140.0,1401EE17,Option A,,Option C,,,Option D,Option D,,,,Option A,,Option C,,Option A,Option A,Option C,Option C,,Option C,Option B,Option A,Option B,Option B,,Option A,,Option A,"[5, 12, 11]"
07-08-2021 12:19,abdul_rowe197@muall.tech,40.0/140.0,abdul_rowe997@iitp.ac.in,Abdul Rowe,9131454766,27.0/140.0,1401ME10,Option D,Option D,Option B,Option D,Option B,Option B,Option D,,,Option A,Option B,,Option D,Option C,Option A,,,Option D,Option C,Option B,Option B,,Option B,,Option C,Option C,Option B,Option D,"[8, 13, 7]"
07-08-2021 12:19,henry_spencer7982@dionrab.com,45.0/140.0,henry_spencer2064@iitp.ac.in,Henry Spencer,7378293221,33.0/140.0,1401ME69,Option A,Option D,Option B,Option C,,Option D,Option D,Option C,,Option D,Option B,Option D,Option C,Option C,Option B,Option A,Option B,Option D,,,,Option B,,Option C,,Option A,Option B,Option D,"[9, 12, 7]"
07-08-2021 12:19,livia_ianson9590@famism.biz,100.0/140.0,livia_ianson3962@iitp.ac.in,Livia Ianson,9518769455,93.0/140.0,1401CS31,Option D,Option D,Option B,Option C,Option B,Option C,Option D,,Option A,Option A,Option C,Option A,Option D,Option D,Option D,Option C,Option C,Option D,Option B,Option B,Option A,Option B,Option A,Option D,Option B,Option C,Option C,Option D,"[20, 7, 1]"
07-08-2021 12:19,charlize_driscoll1025@corti.com,90.0/140.0,charlize_driscoll3045@iitp.ac.in,Charlize Driscoll,6304699592,88.0/140.0,1401CS15,Option A,,,Option C,,Option C,Option D,Option D,,,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,,,,Option A,Option A,Option D,Option B,Option A,Option C,Option B,"[18, 2, 8]"
07-08-2021 12:19,danielle_ellison9701@dionrab.com,35.0/140.0,danielle_ellison1492@iitp.ac.in,Danielle Ellison,8171611219,24.0/140.0,1401EE32,Option D,Option D,Option A,Option C,Option A,Option C,,,,Option B,Option A,Option A,,,,Option A,Option C,Option D,Option A,Option C,Option B,,Option A,,Option A,,,Option B,"[7, 11, 10]"
07-08-2021 12:19,chadwick_john5137@zorer.org,105.0/140.0,chadwick_john1030@iitp.ac.in,Chadwick John,8922824586,104.0/140.0,1401CE04,Option A,,Option B,Option C,,Option C,Option D,Option D,,Option A,Option C,Option A,Option D,,Option B,,Option C,Option D,Option B,Option D,Option A,,Option A,Option D,Option D,Option A,Option C,Option B,"[21, 1, 6]"
07-08-2021 12:20,gil_carter2776@gompie.com,90.0/140.0,gil_carter3805@iitp.ac.in,Gil Carter,9321640810,83.0/140.0,1401CS68,Option D,Option D,Option B,Option C,Option B,Option B,Option A,,,Option A,Option C,Option A,Option D,Option D,Option B,Option C,Option C,Option D,Option B,,Option A,Option A,Option B,Option D,Option A,Option C,Option C,Option D,"[18, 7, 3]"
07-08-2021 12:20,daphne_speed306@vetan.org,130.0/140.0,daphne_speed3415@iitp.ac.in,Daphne Speed,9783460636,128.0/140.0,1401CE61,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option B,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option A,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,"[26, 2, 0]"
07-08-2021 12:20,caydence_camden1581@naiker.biz,20.0/140.0,caydence_camden8370@iitp.ac.in,Caydence Camden,9569921982,20.0/140.0,1401ME80,,,,,,,,,,,,,Option D,,Option B,,,,,,,,,Option D,,Option A,,,"[4, 0, 24]"
07-08-2021 12:20,elijah_sloan9903@famism.biz,45.0/140.0,elijah_sloan1477@iitp.ac.in,Elijah Sloan,9369060898,37.0/140.0,1401ME83,,Option D,,,Option D,,Option D,Option D,,,Option C,Option B,Option B,,,Option B,Option C,Option D,Option C,Option D,,Option B,,Option D,Option A,Option C,,Option D,"[9, 8, 11]"
07-08-2021 12:20,madison_parsons1820@twipet.com,60.0/140.0,madison_parsons5146@iitp.ac.in,Madison Parsons,7903619453,44.0/140.0,1401ME52,Option C,Option B,Option B,Option B,Option B,Option B,Option A,Option D,Option B,Option B,Option C,Option D,Option B,Option D,Option B,Option B,Option D,Option A,Option B,Option B,Option A,Option B,Option A,Option D,Option B,Option A,Option A,Option D,"[12, 16, 0]"
07-08-2021 12:20,gil_savage9073@bungar.biz,100.0/140.0,gil_savage2177@iitp.ac.in,Gil Savage,9809925873,97.0/140.0,1401EE58,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,,Option B,Option D,Option D,Option D,,Option B,Option D,Option C,Option D,,Option D,,Option A,Option A,Option D,Option D,Option A,,Option D,"[20, 3, 5]"
07-08-2021 12:20,vicky_stubbs4593@typill.biz,25.0/140.0,vicky_stubbs5534@iitp.ac.in,Vicky Stubbs,8235880406,19.0/140.0,1401EE56,Option D,,,Option C,,,Option C,Option B,,,Option D,Option A,,,,,,Option D,,Option B,,Option B,Option A,Option D,,,,,"[5, 6, 17]"
